證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1459","聯發","227,000","1,563,020","6.93","6.96","6.85","6.95","-0.01","37"
"1460","宏遠","1,521,000","11,219,910","7.39","7.59","7.25","7.26","-0.13","622"
"1463","強盛","64,000","727,450","11.40","11.40","11.30","11.30","-0.10","33"
"1464","得力","393,000","8,087,200","20.70","20.70","20.50","20.55","-0.05","219"
"1465","偉全","94,000","1,427,500","15.20","15.35","15.10","15.15","-0.05","59"
"1466","聚隆","90,000","687,940","7.91","7.91","7.60","7.69","-0.19","48"
"1467","南緯","3,267,000","33,897,360","10.00","10.80","9.97","10.45","+0.40","623"
"1468","昶和","11,000","108,490","9.72","9.99","9.70","9.99","+0.01","10"
"1470","大統新創","3,000","58,900","19.35","19.80","19.35","19.75","+0.75","3"
"1471","首利","82,000","203,560","2.55","2.55","2.43","2.49","-0.06","21"
"1472","三洋紡","763,000","9,232,800","12.15","12.55","11.70","11.75","-0.30","355"
"1473","台南","106,000","2,092,500","19.85","20.00","19.60","19.80"," 0.00","71"
"1474","弘裕","319,000","2,983,990","9.40","9.42","9.31","9.35","-0.04","111"
"1475","本盟","13,000","180,100","14.15","14.15","13.80","13.80","-0.35","5"
"1476","儒鴻","1,003,000","279,109,000","279.00","280.50","275.00","279.50","+1.00","875"
"1477","聚陽","3,008,000","379,811,500","127.00","129.00","124.00","126.50","-0.50","2,189"
"1503","士電","208,000","9,393,850","45.15","45.30","44.75","44.85","-0.30","119"
"1504","東元","3,189,000","86,432,250","27.20","27.25","27.00","27.10","+0.10","1,901"
"1506","正道","599,000","7,829,200","13.55","13.55","12.90","13.15","-0.15","201"
"1507","永大","153,000","8,699,900","57.20","57.40","56.70","56.70","-1.00","140"
"1512","瑞利","778,000","4,380,140","5.63","5.63","5.63","5.63","+0.51","107"
"1513","中興電","3,560,000","98,452,400","27.85","27.95","27.45","27.60","-0.10","1,030"
"1514","亞力","838,000","17,173,550","20.60","20.65","20.40","20.50"," 0.00","363"
"1515","力山","2,031,000","144,243,300","70.80","71.70","70.40","70.80","+0.40","1,274"
"1516","川飛","22,000","300,700","13.75","13.75","13.60","13.75"," 0.00","12"
"1517","利奇","151,000","1,193,530","7.91","7.93","7.86","7.92","+0.01","59"
"1519","華城","497,000","13,027,000","26.10","26.45","25.95","26.30","+0.30","297"
"1521","大億","40,000","2,303,100","57.80","58.00","57.20","57.60","-0.20","30"
"1522","堤維西","340,000","7,931,900","23.25","23.50","23.25","23.40","+0.15","198"
"1524","耿鼎","275,000","2,438,390","8.74","8.96","8.70","8.90","+0.16","121"
"1525","江申","422,000","20,425,200","46.35","48.60","46.35","48.60","+4.40","239"
"1526","日馳","6,701,000","158,897,900","22.55","24.00","22.55","24.00","+2.15","3,031"
"1527","鑽全","960,000","39,183,550","39.90","41.50","39.85","40.85","+1.00","540"
"1528","恩德","86,000","645,590","7.54","7.55","7.46","7.50","-0.03","48"
"1529","樂士","51,000","714,400","14.50","14.50","13.70","14.15","+0.05","31"
"1530","亞崴","25,000","795,000","32.05","32.30","31.60","31.90","-0.20","14"
"1531","高林股","90,000","1,160,250","12.95","13.00","12.70","12.95"," 0.00","47"
"1532","勤美","488,000","13,800,050","28.05","28.95","28.00","28.25","+0.20","249"
"1533","車王電","61,000","1,606,800","26.35","26.55","26.25","26.30","+0.05","48"
"1535","中宇","62,000","2,021,450","33.00","33.00","32.45","32.55","-0.65","28"
"1536","和大","3,657,000","355,471,600","95.40","98.90","94.10","98.50","+3.00","2,749"
"1537","廣隆","47,000","6,700,000","142.50","143.00","142.00","143.00","+1.00","36"
"1538","正峰新","22,000","59,810","2.71","2.73","2.71","2.72","-0.13","11"
"1539","巨庭","57,000","982,250","17.35","17.35","17.15","17.25","-0.10","42"
"1540","喬福","113,000","1,793,400","16.00","16.00","15.80","15.85","+0.05","69"
"1541","錩泰","358,000","14,600,100","40.15","41.75","39.90","40.50","+0.60","219"
"1558","伸興","29,000","3,810,500","131.00","132.00","131.00","131.50","-0.50","29"
"1560","中砂","237,000","14,219,800","59.90","60.50","59.90","60.00","-0.40","185"
"1568","倉佑","85,000","1,256,950","14.85","15.00","14.60","14.80","+0.10","52"
"1582","信錦","300,000","24,461,300","81.60","82.50","81.00","81.70","+0.10","194"
"1583","程泰","9,000","538,900","60.00","60.50","59.60","59.60"," 0.00","9"
"1587","吉茂","2,000","25,850","12.75","13.10","12.75","13.10","+0.05","2"
"1589","永冠-KY","271,000","16,356,800","61.20","61.40","59.60","59.70","-1.30","205"
"1590","亞德客-KY","1,014,000","556,731,000","551.00","559.00","543.00","547.00","+6.00","878"
"1592","英瑞-KY","1,200,000","13,388,950","11.10","11.30","11.00","11.20"," 0.00","396"
"1598","岱宇","2,799,000","115,646,150","40.00","42.45","39.85","42.45","+2.70","1,689"
"1603","華電","14,000","368,650","26.65","26.65","26.20","26.30","-0.30","13"
"1604","聲寶","590,000","11,573,650","19.60","19.70","19.55","19.65","-0.10","179"
"1605","華新","5,316,000","67,315,400","12.65","12.75","12.55","12.60"," 0.00","1,415"
"1608","華榮","411,000","3,779,370","9.15","9.25","9.15","9.19","+0.03","135"
"1609","大亞","2,259,000","24,099,450","10.90","10.90","10.55","10.60","-0.15","696"
"1611","中電","417,000","5,516,650","13.20","13.30","13.15","13.25","+0.05","197"
"1612","宏泰","144,000","1,446,750","10.10","10.10","10.00","10.00","-0.10","40"
"1614","三洋電","73,000","2,249,950","31.05","31.05","30.70","30.85","-0.05","42"
"1615","大山","208,000","4,557,350","22.00","22.15","21.80","21.80","-0.10","99"
"1616","億泰","194,000","785,130","4.18","4.18","3.92","4.12","-0.10","61"
"1617","榮星","49,000","545,800","11.10","11.20","11.05","11.20","+0.05","31"
"1618","合機","47,000","365,320","7.85","7.85","7.70","7.75","+0.04","30"
"1626","艾美特-KY","134,000","3,464,800","25.30","26.10","25.30","26.00","+0.40","89"
"1701","中化","1,803,000","39,250,450","21.90","22.00","21.60","21.75","-0.05","882"
"1702","南僑","232,000","10,215,600","44.25","44.40","43.90","43.95","-0.30","191"
"1707","葡萄王","455,000","87,673,000","194.00","194.50","191.50","191.50","-1.00","399"
"1708","東鹼","319,000","7,627,300","23.90","24.20","23.80","24.15","+0.25","123"
"1709","和益","533,000","6,955,300","13.20","13.20","12.95","13.00","-0.10","197"
"1710","東聯","903,000","15,191,000","16.90","17.00","16.70","16.80","-0.05","383"
"1711","永光","637,000","9,469,700","14.95","15.05","14.75","14.80"," 0.00","375"
"1712","興農","587,000","10,642,900","18.20","18.20","18.10","18.15"," 0.00","257"
"1713","國化","37,000","659,750","17.90","17.95","17.75","17.75","-0.20","22"
"1714","和桐","1,603,000","11,766,520","7.33","7.41","7.29","7.29","-0.04","466"
"1717","長興","4,416,000","135,742,550","31.40","31.50","30.25","30.70","-0.65","2,496"
"1718","中纖","3,264,000","20,866,890","6.40","6.48","6.31","6.40","+0.04","1,075"
"1720","生達","1,234,000","49,241,850","40.30","40.35","39.65","39.85","-0.15","759"
"1721","三晃","290,000","2,880,460","9.88","10.00","9.88","9.92","+0.01","66"
"1722","台肥","1,825,000","89,394,400","49.10","49.20","48.80","48.85","-0.15","1,151"
"1723","中碳","255,000","26,136,500","102.00","103.50","101.50","102.00"," 0.00","197"
"1724","台硝","9,000","109,850","12.25","12.25","12.15","12.25","-0.05","9"
"1725","元禎","12,000","173,000","14.30","14.50","14.30","14.40","-0.10","11"
"1726","永記","39,000","2,679,800","69.90","69.90","67.30","68.80","-0.50","35"
"1727","中華化","138,000","1,250,660","9.10","9.26","9.00","9.00","-0.10","58"
"1730","花仙子","178,000","12,600,100","71.50","71.50","70.20","70.70","-0.70","138"
"1731","美吾華","1,043,000","14,492,050","13.80","14.10","13.60","13.90","+0.15","551"
"1732","毛寶","1,271,000","39,696,750","31.30","31.50","30.75","31.05","+0.30","850"
"1733","五鼎","1,411,000","35,244,650","25.60","25.60","24.65","24.70","-1.00","797"
"1734","杏輝","456,000","9,457,150","20.95","20.95","20.55","20.65","-0.15","219"
"1735","日勝化","2,000","33,550","16.85","16.85","16.70","16.70"," 0.00","2"
"1736","喬山","2,969,000","194,073,100","64.90","66.30","64.00","66.20","+2.40","2,045"
"1737","臺鹽","255,000","7,915,400","30.95","31.15","30.90","31.00","+0.05","131"
"1760","寶齡富錦","36,530,000","5,464,947,500","143.50","154.00","140.00","154.00","+14.00","20,266"
"1762","中化生","14,656,000","919,968,900","63.80","64.70","60.60","61.90","-1.20","8,698"
"1773","勝一","197,000","19,017,100","96.40","97.30","96.00","96.90","-0.10","179"
"1776","展宇","12,000","204,050","17.05","17.05","16.95","17.00","-0.15","10"
"1783","和康生","684,000","18,711,000","27.85","27.85","27.15","27.30","-0.55","428"
"1786","科妍","106,000","6,617,000","62.50","62.80","62.10","62.30","-0.10","83"
"1789","神隆","3,597,000","114,974,050","32.45","32.50","31.60","31.75","-0.30","2,309"
"1795","美時","1,761,000","137,191,700","77.80","78.80","77.00","78.00","+0.70","1,341"
"1802","台玻","1,112,000","9,818,860","8.96","8.97","8.74","8.78","-0.13","399"
"1805","寶徠","15,000","122,060","8.11","8.27","8.11","8.17","-0.15","10"
"1806","冠軍","320,000","1,574,840","4.93","4.96","4.88","4.94"," 0.00","96"
"1808","潤隆","126,000","7,392,600","58.80","58.90","58.50","58.60","-0.20","93"
"1809","中釉","486,000","4,480,350","9.21","9.27","9.13","9.20","+0.01","154"
"1810","和成","116,000","844,060","7.30","7.31","7.24","7.28","+0.01","41"
"1817","凱撒衛","204,000","6,170,700","30.40","30.50","29.80","30.35","-0.05","72"
"1902","台紙","1,064,000","21,975,200","20.65","20.70","20.65","20.70","+0.05","457"
"1903","士紙","535,000","23,880,950","44.20","45.45","43.10","43.70","-0.30","312"
"1904","正隆","8,521,000","203,248,500","23.80","24.15","23.55","23.55","-0.05","3,802"
"1905","華紙","916,000","7,091,610","7.75","7.77","7.70","7.75"," 0.00","270"
"1906","寶隆","97,000","1,181,200","12.20","12.30","12.05","12.05","-0.15","55"
"1907","永豐餘","1,772,000","23,534,200","13.35","13.35","13.20","13.25","-0.10","559"
"1909","榮成","5,040,000","63,757,950","12.90","12.95","12.40","12.55","-0.25","1,686"
"2002","中鋼","13,437,000","266,770,700","19.85","19.90","19.80","19.90","+0.10","4,781"
"2002A","中鋼特","6,000","320,300","53.40","53.40","53.30","53.40"," 0.00","6"
"2006","東和鋼鐵","1,569,000","36,949,700","23.50","23.65","23.45","23.55","+0.05","558"
"2007","燁興","190,000","741,130","3.84","3.94","3.84","3.86","+0.01","56"
"2008","高興昌","13,000","160,100","12.35","12.35","12.30","12.30","-0.10","10"
"2009","第一銅","140,000","1,025,330","7.36","7.37","7.29","7.35"," 0.00","63"
"2010","春源","241,000","2,250,760","9.35","9.36","9.31","9.32","-0.03","76"
"2012","春雨","43,000","756,250","17.65","17.65","17.55","17.55","-0.05","30"
"2013","中鋼構","758,000","18,487,400","24.50","24.60","24.15","24.15","-0.25","357"
"2014","中鴻","1,198,000","8,760,750","7.38","7.38","7.27","7.29","+0.03","370"
"2015","豐興","208,000","10,846,400","52.20","52.40","52.00","52.00","-0.20","113"
"2017","官田鋼","264,000","1,787,020","6.77","6.80","6.71","6.72","-0.01","73"
"2020","美亞","768,000","13,598,450","17.65","17.80","17.65","17.80","+0.15","262"
"2022","聚亨","794,000","3,415,500","4.28","4.35","4.27","4.30","+0.03","207"
"2023","燁輝","1,025,000","8,614,820","8.37","8.45","8.37","8.40","+0.01","242"
"2024","志聯","98,000","1,224,850","12.50","12.50","12.45","12.50"," 0.00","18"
"2025","千興","92,000","156,810","1.80","1.80","1.67","1.68","-0.08","13"
"2027","大成鋼","5,997,000","159,159,850","25.80","27.00","25.75","26.85","+1.05","2,871"
"2028","威致","14,000","131,480","9.40","9.40","9.36","9.36","-0.04","7"
"2029","盛餘","33,000","528,700","15.95","16.25","15.95","16.25","+0.25","25"
"2030","彰源","120,000","1,223,000","10.25","10.25","10.15","10.20"," 0.00","59"
"2031","新光鋼","307,000","7,339,200","24.25","24.25","23.75","23.75","-0.25","200"
"2032","新鋼","61,000","508,210","8.32","8.36","8.29","8.36","+0.07","22"
"2033","佳大","80,000","753,030","9.49","9.50","9.26","9.49","+0.02","31"
"2034","允強","329,000","7,792,250","23.70","23.90","23.60","23.60","-0.10","173"
"2038","海光","486,000","3,275,410","6.85","6.95","6.65","6.74","-0.15","225"
"2049","上銀","1,075,000","308,991,500","291.00","291.00","284.00","285.00","-4.00","913"
"2059","川湖","828,000","268,909,500","316.00","331.50","316.00","323.50","+10.50","694"
"2062","橋椿","163,000","3,104,700","19.45","19.45","18.85","19.00","-0.25","116"
"2069","運錩","45,000","712,950","15.95","16.05","15.70","15.85","-0.45","32"
"2101","南港","1,835,000","71,718,600","38.85","39.70","38.35","39.70","+0.95","968"
"2102","泰豐","3,616,000","57,790,550","15.85","16.20","15.70","15.90","+0.10","1,113"
"2103","台橡","2,810,000","46,889,900","16.90","17.00","16.50","16.60","-0.15","1,192"
"2104","國際中橡","3,325,000","66,439,300","20.20","20.20","19.85","19.90","-0.20","1,181"
"2105","正新","4,349,000","145,225,300","33.45","33.80","32.80","33.70","+0.40","2,091"
"2106","建大","2,357,000","71,028,850","30.30","30.50","29.90","30.30"," 0.00","951"
"2107","厚生","374,000","6,774,050","18.25","18.30","18.00","18.10","-0.15","185"
"2108","南帝","2,911,000","102,674,950","35.90","36.10","35.00","35.15","-0.55","1,668"
"2109","華豐","647,000","8,518,000","12.90","13.40","12.90","13.20","+0.20","226"
"2114","鑫永銓","61,000","4,941,800","80.80","81.30","80.70","80.70","+0.10","41"
"2115","六暉-KY","12,000","487,250","40.95","41.00","40.35","40.35","-0.35","12"
"2201","裕隆","36,978,000","738,794,650","20.20","20.60","19.25","20.35","+0.65","12,131"
"2204","中華","2,130,000","77,902,450","36.50","37.25","36.15","36.45","-0.15","1,195"
"2206","三陽工業","402,000","8,043,700","20.05","20.10","19.95","20.05"," 0.00","176"
"2207","和泰車","935,000","513,222,000","545.00","555.00","536.00","551.00","+13.00","801"
"2208","台船","3,546,000","87,869,200","25.20","25.40","24.20","24.25","-0.25","1,816"
"2227","裕日車","59,000","15,385,500","262.50","262.50","259.00","261.00","-0.50","53"
"2228","劍麟","282,000","24,761,600","88.00","88.30","87.20","87.90","+0.70","243"
"2231","為升","1,621,000","256,568,000","161.00","163.50","155.50","156.50","-3.50","1,263"
"2233","宇隆","240,000","14,707,100","61.50","61.60","61.00","61.20","-0.30","170"
"2236","百達-KY","16,000","247,350","15.45","15.50","15.35","15.45","+0.20","12"
"2239","英利-KY","47,000","2,770,000","59.40","59.40","58.70","59.00","-0.40","43"
"2243","宏旭-KY","82,000","841,710","10.10","10.60","9.92","9.92","-0.18","52"
"2301","光寶科","4,466,000","209,660,300","47.20","47.20","46.80","46.80"," 0.00","2,674"
"2302","麗正","141,000","990,750","7.08","7.10","7.00","7.02","-0.05","56"
"2303","聯電","59,164,000","885,017,350","15.15","15.15","14.85","14.85","-0.10","17,785"
"2305","全友","184,000","962,790","5.21","5.29","5.20","5.21"," 0.00","83"
"2308","台達電","4,226,000","595,236,000","142.00","142.00","139.00","141.00"," 0.00","1,896"
"2312","金寶","14,132,000","166,770,600","12.00","12.00","11.60","12.00"," 0.00","3,472"
"2313","華通","25,129,000","981,862,350","39.00","39.80","38.50","39.15","-0.15","11,489"
"2314","台揚","734,000","15,443,950","21.30","21.35","20.80","21.00","-0.20","406"
"2316","楠梓電","2,438,000","72,841,800","29.85","30.35","29.55","29.80","-0.10","988"
"2317","鴻海","30,655,000","2,292,004,500","74.90","75.30","74.50","74.50","-0.30","13,156"
"2321","東訊","225,000","337,230","1.41","1.50","1.41","1.50","+0.13","40"
"2323","中環","15,358,000","117,248,900","7.60","7.79","7.52","7.60","+0.08","3,995"
"2324","仁寶","8,264,000","152,970,300","18.60","18.60","18.45","18.50"," 0.00","2,494"
"2327","國巨","32,979,000","12,755,057,500","381.00","395.00","379.00","384.50","+11.50","23,801"
"2328","廣宇","1,064,000","19,333,000","18.05","18.35","18.05","18.05"," 0.00","519"
"2329","華泰","2,155,000","24,432,150","11.30","11.50","11.20","11.20","-0.10","564"
"2330","台積電","32,360,000","9,474,459,000","293.00","294.00","291.00","294.00","+2.50","15,254"
"2331","精英","492,000","5,708,800","11.70","11.70","11.55","11.55","-0.15","263"
"2332","友訊","4,049,000","50,972,700","12.55","12.75","12.45","12.55"," 0.00","1,245"
"2337","旺宏","26,979,000","890,949,450","33.00","33.35","32.80","32.85","+0.05","10,313"
"2338","光罩","4,842,000","127,295,650","26.05","26.65","25.85","26.50","+0.90","2,546"
"2340","光磊","3,377,000","70,695,300","20.70","21.10","20.60","21.00","+0.30","1,130"
"2342","茂矽","16,305,000","472,559,800","28.70","29.95","27.80","27.80","-1.10","7,898"
"2344","華邦電","22,569,000","297,260,200","13.05","13.35","13.00","13.10","+0.20","5,613"
"2345","智邦","4,173,000","889,416,500","213.00","215.50","210.50","215.00","+3.00","2,986"
"2347","聯強","8,601,000","378,022,400","43.50","44.20","43.35","44.10","+0.95","4,310"
"2348","海悅","284,000","17,100,000","60.60","60.60","60.00","60.10","-0.30","167"
"2349","錸德","27,535,000","159,421,050","5.80","6.28","5.39","5.95","+0.16","6,665"
"2351","順德","362,000","16,283,100","44.65","45.25","44.35","45.20","+0.55","228"
"2352","佳世達","7,092,000","118,503,700","16.55","16.85","16.50","16.80","+0.35","2,460"
"2353","宏碁","7,339,000","119,559,150","16.40","16.45","16.15","16.30","-0.05","2,409"
"2354","鴻準","1,837,000","100,513,100","54.50","55.00","54.50","54.70","+0.20","1,146"
"2355","敬鵬","6,140,000","151,228,100","24.10","25.25","24.05","24.25","+0.35","3,105"
"2356","英業達","8,783,000","210,249,050","23.80","24.10","23.80","23.95","+0.20","3,083"
"2357","華碩","3,188,000","663,356,000","211.50","213.00","205.50","205.50","-5.00","2,265"
"2358","廷鑫","130,000","1,762,300","13.75","13.75","13.50","13.60","-0.15","64"
"2359","所羅門","189,000","3,476,400","18.35","18.50","18.30","18.40","+0.05","101"
"2360","致茂","1,168,000","156,505,000","132.50","135.50","132.50","134.50","+3.50","923"
"2362","藍天","380,000","11,341,350","29.90","30.15","29.55","29.55","-0.40","194"
"2363","矽統","17,412,000","210,288,400","11.90","12.25","11.80","12.00","+0.10","4,486"
"2364","倫飛","53,000","111,300","2.10","2.10","2.10","2.10"," 0.00","5"
"2365","昆盈","254,000","1,999,490","7.81","7.92","7.81","7.92","+0.12","108"
"2367","燿華","31,123,000","705,370,800","21.70","23.50","21.70","23.30","+1.50","11,239"
"2368","金像電","30,582,000","1,011,462,650","33.50","33.75","32.50","32.70","-0.80","11,355"
"2369","菱生","914,000","8,622,860","9.40","9.50","9.37","9.45","+0.09","383"
"2371","大同","4,359,000","89,316,500","20.50","20.65","20.35","20.60","+0.25","1,520"
"2373","震旦行","68,000","5,987,000","88.60","89.00","86.40","88.00","-0.60","59"
"2374","佳能","159,000","1,878,850","11.80","11.90","11.75","11.85","+0.05","67"
"2375","凱美","2,669,000","99,678,750","37.15","37.95","36.95","37.10","+0.35","1,779"
"2376","技嘉","9,516,000","595,993,700","63.10","63.70","62.00","62.60"," 0.00","5,394"
"2377","微星","7,166,000","765,759,500","108.00","108.50","105.00","106.50","+0.50","4,637"
"2379","瑞昱","5,801,000","1,488,928,000","258.50","261.50","252.00","255.50","-0.50","4,188"
"2380","虹光","111,000","389,480","3.55","3.61","3.46","3.57","-0.01","50"
"2382","廣達","10,254,000","702,688,300","69.00","69.20","67.70","68.30"," 0.00","6,026"
"2383","台光電","2,790,000","376,779,500","135.50","136.50","133.50","135.50","+0.50","1,905"
"2385","群光","1,987,000","161,911,400","81.70","81.90","81.00","81.10","+0.10","1,252"
"2387","精元","1,841,000","54,021,950","29.20","29.95","28.95","29.10","+0.15","1,215"
"2388","威盛","880,000","25,544,200","28.90","29.50","28.40","28.95","+0.05","458"
"2390","云辰","7,153,000","70,395,230","9.78","10.45","9.44","10.05","+0.15","2,522"
"2392","正崴","1,584,000","57,482,750","36.25","36.60","36.05","36.10","-0.15","878"
"2393","億光","2,360,000","76,721,550","32.00","33.00","31.70","32.45","+0.75","1,481"
"2395","研華","488,000","139,576,000","288.00","290.00","284.00","285.00","-3.00","436"
"2397","友通","46,000","3,468,600","75.10","75.70","75.10","75.40","-0.50","37"
"2399","映泰","404,000","4,021,270","9.90","10.05","9.87","9.95","+0.06","179"
"2401","凌陽","10,442,000","115,126,150","11.25","11.35","10.60","10.95","-0.20","3,582"
"2402","毅嘉","449,000","5,713,600","12.75","12.85","12.60","12.70","-0.05","209"
"2404","漢唐","781,000","149,820,500","192.00","194.00","191.00","191.50","-0.50","654"
"2405","浩鑫","1,086,000","10,808,790","9.92","10.05","9.88","9.89","-0.06","314"
"2406","國碩","1,749,000","16,709,440","9.55","9.70","9.41","9.56","+0.12","483"
"2408","南亞科","9,991,000","601,642,000","60.00","61.00","59.60","59.90","+0.70","5,688"
"2409","友達","62,766,000","485,850,320","7.72","7.88","7.63","7.63","-0.03","12,118"
"2412","中華電","5,473,000","609,201,500","111.00","111.50","111.00","111.50","+0.50","2,649"
"2413","環科","206,000","2,489,750","12.00","12.30","11.95","12.10","-0.05","69"
"2414","精技","115,000","2,751,300","23.95","24.00","23.85","23.90","-0.05","81"
"2415","錩新","294,000","4,669,250","16.10","16.10","15.80","15.85","-0.25","145"
"2417","圓剛","1,987,000","26,725,000","13.45","13.65","13.25","13.50","+0.15","726"
"2419","仲琦","222,000","4,467,650","20.15","20.25","20.05","20.10","-0.05","133"
"2420","新巨","210,000","7,071,900","33.75","33.80","33.60","33.70","+0.15","135"
"2421","建準","7,254,000","375,882,200","53.30","53.30","50.70","52.40","-0.60","4,651"
"2423","固緯","92,000","2,180,100","23.85","23.85","23.60","23.75","+0.10","72"
"2424","隴華","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"2425","承啟","86,000","2,082,600","24.30","24.35","24.10","24.20","-0.10","56"
"2426","鼎元","10,189,000","143,324,800","13.75","14.30","13.75","14.20","+0.55","2,624"
"2427","三商電","102,000","1,018,120","9.97","10.05","9.94","9.94","-0.11","52"
"2428","興勤","353,000","30,748,500","86.50","87.70","86.10","87.60","+1.40","279"
"2429","銘旺科","97,000","1,845,900","19.05","19.30","18.85","19.00","-0.45","59"
"2430","燦坤","372,000","6,327,200","16.90","17.10","16.90","16.95","+0.10","121"
"2431","聯昌","303,000","2,478,560","8.20","8.24","8.11","8.14","-0.05","107"
"2433","互盛電","103,000","5,328,800","51.80","51.80","51.60","51.80","-0.10","79"
"2434","統懋","3,000","19,850","6.80","6.80","6.25","6.25","-0.15","2"
"2436","偉詮電","2,905,000","76,168,800","25.45","26.75","25.45","26.55","+1.25","1,519"
"2438","翔耀","43,000","244,680","5.68","5.73","5.59","5.59","-0.10","13"
"2439","美律","1,430,000","184,181,500","129.50","130.50","128.00","128.50","-1.00","1,169"
"2440","太空梭","19,000","171,080","9.43","9.43","8.75","8.75","-0.15","10"
"2441","超豐","590,000","26,809,400","45.15","45.65","45.15","45.60","+0.55","457"
"2442","新美齊","627,000","4,890,980","7.89","7.94","7.70","7.70","-0.15","259"
"2443","億麗","256,000","743,940","2.96","2.96","2.85","2.89","-0.07","103"
"2444","兆勁","2,274,000","37,795,900","16.60","16.80","16.25","16.55"," 0.00","382"
"2448","晶電","51,200,000","1,909,380,400","36.45","37.85","36.20","37.80","+1.75","23,268"
"2449","京元電子","39,731,000","1,211,940,250","30.80","30.95","30.30","30.30","-0.75","19,251"
"2450","神腦","163,000","4,575,250","28.00","28.20","27.95","28.15","+0.20","118"
"2451","創見","643,000","44,792,600","69.50","69.90","69.40","69.80","+0.30","500"
"2453","凌群","359,000","5,833,700","16.25","16.40","16.15","16.30","+0.10","194"
"2454","聯發科","18,323,000","8,601,532,000","467.00","479.00","464.00","470.00","+8.00","11,924"
"2455","全新","3,713,000","316,361,400","88.00","88.00","83.70","84.50","-3.80","2,793"
"2456","奇力新","8,496,000","853,368,500","100.00","102.00","99.10","99.30","+1.00","5,922"
"2457","飛宏","1,175,000","8,246,120","6.90","7.13","6.85","7.04","+0.16","439"
"2458","義隆","2,896,000","270,262,200","93.00","94.00","92.30","93.60","+0.70","2,065"
"2459","敦吉","73,000","2,942,700","40.40","40.45","40.15","40.45","+0.05","51"
"2460","建通","37,000","296,370","8.07","8.07","7.97","7.97","-0.06","18"
"2461","光群雷","518,000","7,537,900","14.65","14.65","14.40","14.65","+0.15","250"
"2462","良得電","51,000","1,353,200","26.60","26.60","26.35","26.35","-0.35","27"
"2464","盟立","446,000","16,550,750","37.10","37.30","37.00","37.00","-0.10","287"
"2465","麗臺","108,000","999,730","9.38","9.40","9.19","9.21","-0.04","62"
"2466","冠西電","60,000","1,794,400","30.00","30.00","29.60","29.80","-0.25","38"
"2467","志聖","535,000","15,081,150","28.30","28.40","28.10","28.25"," 0.00","340"
"2468","華經","47,000","589,850","12.60","12.60","12.50","12.55","-0.05","28"
"2471","資通","1,917,000","41,165,450","21.30","21.80","21.05","21.60","+0.35","525"
"2472","立隆電","1,150,000","48,114,350","41.85","42.40","41.35","41.75","+0.05","779"
"2474","可成","8,398,000","1,825,841,500","221.50","221.50","215.50","217.50","-6.50","6,430"
"2476","鉅祥","132,000","2,645,750","19.95","20.10","19.95","20.00","+0.05","71"
"2477","美隆電","86,000","1,872,550","22.20","22.20","21.45","21.45","+0.15","81"
"2478","大毅","10,777,000","854,931,600","79.00","81.00","78.10","78.10","+0.20","6,928"
"2480","敦陽科","836,000","53,801,600","63.90","65.00","63.80","64.80","+1.30","594"
"2481","強茂","4,378,000","105,077,400","23.75","24.30","23.65","24.05","+0.25","2,053"
"2482","連宇","133,000","1,443,950","10.80","10.95","10.80","10.95","+0.15","52"
"2483","百容","74,000","1,447,400","19.55","19.60","19.55","19.55"," 0.00","40"
"2484","希華","1,619,000","34,396,600","21.20","21.45","21.05","21.05"," 0.00","634"
"2485","兆赫","1,943,000","31,199,350","15.85","16.45","15.50","16.25","+0.40","699"
"2486","一詮","204,000","1,505,190","7.42","7.45","7.29","7.45","+0.05","100"
"2488","漢平","89,000","2,512,250","28.15","28.35","28.15","28.20","+0.05","52"
"2489","瑞軒","3,367,000","24,975,370","7.16","7.59","7.16","7.36","+0.20","1,331"
"2491","吉祥全","42,000","321,000","7.57","7.70","7.57","7.63","+0.07","29"
"2492","華新科","13,739,000","2,629,866,000","191.50","194.50","189.00","189.00","-1.50","9,220"
"2493","揚博","1,496,000","50,378,250","33.50","34.00","33.40","33.60","+0.20","906"
"2495","普安","797,000","9,219,800","11.45","11.70","11.45","11.70","+0.20","159"
"2496","卓越","127,000","8,682,800","68.00","69.40","67.00","69.00","+1.50","86"
"2497","怡利電","48,000","769,850","16.10","16.25","15.95","16.00","+0.05","30"
"2498","宏達電","5,497,000","159,218,300","28.85","29.35","28.65","28.70","+0.05","2,693"
"2501","國建","520,000","9,798,600","18.80","19.00","18.70","18.75","-0.05","326"
"2504","國產","4,480,000","63,641,650","14.25","14.30","14.10","14.20","-0.05","1,302"
"2505","國揚","5,153,000","108,564,750","21.25","21.40","20.70","21.10","-0.35","2,097"
"2506","太設","76,000","688,580","9.05","9.10","9.02","9.02","-0.03","39"
"2509","全坤建","67,000","1,335,200","19.90","20.05","19.85","19.95","-0.10","46"
"2511","太子","664,000","6,481,020","9.76","9.83","9.72","9.74","-0.01","232"
"2514","龍邦","99,000","1,432,150","14.50","14.55","14.40","14.45","-0.10","77"
"2515","中工","1,977,000","13,668,180","6.94","6.95","6.87","6.89","-0.05","639"
"2516","新建","148,000","700,240","4.78","4.79","4.68","4.70","-0.06","63"
